date,period,actual_inflation_pct,forecast_inflation_pct,seasonally_adjusted_value_pct,seasonal_component_pp,lower_80,upper_80,lower_95,upper_95
2025-07-01,Observed,1.9016837553312849,,2.4155785138747112,-0.5138947585434263,,,,
2025-08-01,Observed,1.8757935113502766,,1.6398525010607927,0.23594101028948394,,,,
2025-09-01,Observed,2.0759603239513646,,2.1781275198249808,-0.1021671958736159,,,,
2025-10-01,Observed,2.3419431023919524,,2.3122454518538706,0.029697650538081564,,,,
2025-11-01,Observed,2.472919671078566,,3.0784522364065094,-0.6055325653279434,,,,
2025-12-01,Observed,2.8452719345717137,,2.8012921402108013,0.0439797943609123,,,,
2026-01-01,Observed,2.881619353661713,,3.0412188401225726,-0.1595994864608596,,,,
2026-02-01,Observed,2.896319072672693,,2.797712007060239,0.09860706561245404,,,,
2026-03-01,Observed,3.38262219244152,,2.1685975332671963,1.2140246591743238,,,,
2026-04-01,Observed,2.5821795615674548,,1.9884862267996501,0.5936933347678046,,,,
2026-05-01,Observed,2.1499723349908573,,2.5358592390700445,-0.38588690407918735,,,,
2026-06-01,Observed,1.8868714688293764,,2.332413449770454,-0.4455419809410775,,,,
2026-07-01,Forecast,,1.5776581308873268,2.091552889430753,-0.5138947585434263,-0.6547748716330751,3.8100911334077288,-1.8365535173027485,4.991869779077403
2026-08-01,Forecast,,2.388376771184259,2.1524357608947753,0.23594101028948394,-0.9587262335870439,5.735479775955563,-2.7305755349679823,7.507329077336501
2026-09-01,Forecast,,2.161741723533408,2.263908919407024,-0.1021671958736159,-1.5542976001859998,5.8777810472528165,-3.5214499914480695,7.844933438514886
2026-10-01,Forecast,,2.287976830221159,2.2582791796830772,0.029697650538081564,-1.68468557219008,6.260639232632397,-3.7876860153496184,8.363639675791935
