modelo,modelo_etiqueta,muestra,muestra_etiqueta,informacion,observaciones,trimestres,periodo_inicial,periodo_final,rmse_modelo,sesgo_observado_menos_modelo,mae_modelo,rmse_ar1,ratio_ar1,mejora_ar1_pct,rmse_ar2,ratio_ar2,mejora_ar2_pct,rmse_ma4,ratio_ma4,mejora_ma4_pct
ensamble_promedio_simple,Promedio simple,completa_con_covid,Todo el test,M1-M3,66,22,2021-T1,2026-T2,0.4457336324152776,0.1361820723444989,0.33305907419303193,0.5925409033815578,0.7522411193413496,24.775888065865036,0.8844345305518266,0.5039758365575915,49.60241634424085,0.7699848355609161,0.5788862479227541,42.11137520772459
ensamble_promedio_simple,Promedio simple,completa_con_covid,Todo el test,M1,22,22,2021-T1,2026-T2,0.4978795146050657,0.21733624087913908,0.37156629009533426,0.6132985039183914,0.8118061782705996,18.819382172940035,0.9974798477206231,0.4991374169039986,50.08625830960014,0.725254693112354,0.6864892007364589,31.35107992635411
ensamble_promedio_simple,Promedio simple,completa_con_covid,Todo el test,M2,22,22,2021-T1,2026-T2,0.43067280257492485,0.0970754815497739,0.3239267008480139,0.6132985039183914,0.7022237944872476,29.77762055127524,0.9974798477206231,0.43176090580583726,56.823909419416275,0.725254693112354,0.5938228413617538,40.61771586382462
ensamble_promedio_simple,Promedio simple,completa_con_covid,Todo el test,M3,22,22,2021-T1,2026-T2,0.40332659130937204,0.09413449460458369,0.30368423163574776,0.5486748187438746,0.7350922213502344,26.490777864976558,0.5972781791424951,0.6752742782072216,32.47257217927783,0.852432520037993,0.47314782323343996,52.685217676656
ensamble_promedio_simple,Promedio simple,sin_covid,Sin COVID,M1-M3,54,18,2022-T1,2026-T2,0.42654961567127636,0.15654709288832253,0.3162591777586571,0.4915745742628993,0.8677210702178284,13.22789297821716,0.49032857066885344,0.8699260887233703,13.00739112766297,0.556282937177201,0.7667853661587345,23.321463384126552
ensamble_promedio_simple,Promedio simple,sin_covid,Sin COVID,M1,18,18,2022-T1,2026-T2,0.4647325257650934,0.2227861189631053,0.3496027336745826,0.49483216741620256,0.9391720190539019,6.082798094609809,0.48902889047609904,0.9503171178959352,4.968288210406479,0.5590771823393477,0.8312493166337289,16.87506833662711
ensamble_promedio_simple,Promedio simple,sin_covid,Sin COVID,M2,18,18,2022-T1,2026-T2,0.4247628839770002,0.1255010493162126,0.31354730612962006,0.49483216741620256,0.8583978810329297,14.16021189670703,0.48902889047609904,0.8685844379530787,13.14155620469213,0.5590771823393477,0.7597571451577831,24.024285484221686
ensamble_promedio_simple,Promedio simple,sin_covid,Sin COVID,M3,18,18,2022-T1,2026-T2,0.3865668063601414,0.12135411038564962,0.2856274934717688,0.4849937508521307,0.7970552314972021,20.294476850279786,0.49291765052786807,0.7842421669140169,21.575783308598307,0.5506519108824309,0.7020166437644069,29.798335623559314
ensamble_promedio_simple,Promedio simple,solo_covid,Solo COVID,M1-M3,12,4,2021-T1,2021-T4,0.5234319488068498,0.04453947989729257,0.40865860814771865,0.9185156191994788,0.5698672269319064,43.013277306809364,1.794529166972396,0.2916820514485967,70.83179485514033,1.3668552888256016,0.38294613415629475,61.70538658437052
ensamble_promedio_simple,Promedio simple,solo_covid,Solo COVID,M1,4,4,2021-T1,2021-T4,0.6256745308709257,0.1928117895012909,0.4704022939887167,0.9832994810345319,0.6363010892801977,36.369891071980234,2.0966977859498224,0.29840949662065375,70.15905033793463,1.21918669743069,0.5131900899095029,48.68099100904971
