modelo,meses_disponibles,nombre_variable,sector,frecuencia_seleccion_pct,impacto_absoluto_medio_todos_pronosticos_pp,impacto_medio_firmado_pp,reduccion_error_media_pp,proporcion_veces_ayudo_pct,periodo_impacto_maximo,ranking_importancia,modelo_etiqueta
dfm_lasso_sin_ar1,1,PIM-PF actividades industriales | Brasil | 3.23 Fabricação de produtos de minerais não metálicos | PIMPF - Número-índice (2022=100),real,10.126582278481012,0.0053092446544542,-0.0414401872498119,-0.0117198321505099,62.5,2011-T1,23.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,Licenciamento Nacionais - Automóveis - montados - qde.,real,11.39240506329114,0.0051944826527027,-0.014006747307049,-0.0094132336492827,33.33333333333333,2023-T3,24.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,Energia elétrica - consumo - quantidade,real,12.658227848101266,0.0051592046207104,-0.0078183808355193,0.0095885701608372,50.0,2024-T2,25.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,"PMC actividades complementarias | Brasil | Índice de receita nominal de vendas no comércio varejista | Tecidos, vestuário e calçados | PMC - Número-índice (2022=100)",real,1.2658227848101269,0.0051386172039361,0.4059507591109552,0.4059507591109552,100.0,2020-T3,26.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF categorias economicas | Brasil | 31 Bens de consumo duráveis | PIMPF - Número-índice (2022=100),real,8.860759493670885,0.0047264610806779,-0.0267862581493507,-0.025724457876143,57.14285714285714,2021-T3,27.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,"PMC comercio ampliado por actividad | Brasil | Índice de volume de vendas no comércio varejista ampliado | Veículos, motocicletas, partes e peças | PMC - Número-índice (2022=100)",real,1.2658227848101269,0.0044586710796572,0.3522350152929219,0.3522350152929219,100.0,2009-T1,28.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,"PMC vehiculos | Brasil | Índice de volume de vendas de veículos, motocicletas, partes e peças | PMC - Número-índice (2022=100)",real,1.2658227848101269,0.0044586710796572,0.3522350152929219,0.3522350152929219,100.0,2009-T1,29.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF grupos y clases | Brasil | 25.92 Fabricação de produtos de trefilados de metal | PIMPF - Número-índice (2022=100),real,10.126582278481012,0.004363274582102,-0.0236626892545023,-0.0311092986637391,50.0,2011-T1,30.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,Energia elétrica - consumo - indústria - quantidade,real,11.39240506329114,0.0043450403766094,0.0040502904742401,-0.0204773702553156,11.11111111111111,2024-T4,31.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF indicadores especiales | Brasil | 6.3.3.1 Bens de consumo duráveis - Baixa intensidade | PIMPF - Número-índice (2022=100),real,6.329113924050633,0.0042857797335349,0.0366751634047072,-0.0132405727079855,40.0,2025-T2,32.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,"PIM-PF actividades industriales | Brasil | 3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos | PIMPF - Número-índice (2022=100)",real,18.9873417721519,0.0041672996056413,0.0047400775195733,0.0106451461263394,53.333333333333336,2012-T2,33.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF actividades industriales | Brasil | 3.32 Fabricação de produtos diversos | PIMPF - Número-índice (2022=100),real,12.658227848101266,0.0041526253077176,0.0178080009687826,-0.0104084992226777,30.0,2025-T4,34.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF grupos y clases | Brasil | 15.3 Fabricação de calçados | PIMPF - Número-índice (2022=100),real,7.594936708860759,0.0039284883700094,-0.0090180623229084,0.0078167210773687,66.66666666666666,2023-T3,35.0,DFM · LASSO sin AR1
