muestra,muestra_etiqueta,meses_disponibles,trimestres,periodo_inicial,periodo_final,rmse_modelo,sesgo_observado_menos_modelo,periodo_covid_definido,rmse_ar1,rmse_modelo_sobre_ar1,mejora_rmse_vs_ar1_pct,rmse_ar2,rmse_modelo_sobre_ar2,mejora_rmse_vs_ar2_pct,rmse_ma4,rmse_modelo_sobre_ma4,mejora_rmse_vs_ma4_pct,variante_modelo,rmse_rolling_120m,diferencia_rmse_vs_rolling,mejora_rmse_vs_rolling_pct
completa_con_covid,All included,1,77,2006-T2,2026-T2,1.6059627765134568,-0.1042691660435948,2020-T1 a 2021-T4,1.9060468888144664,0.8425620512999773,15.74379487000227,2.2210205951609585,0.7230742389388207,27.69257610611793,2.0266796678249155,0.7924107603235676,20.75892396764324,pesos_senal_fuerte,1.6059627765134568,0.0,0.0
post_covid,Post-COVID,1,18,2022-T1,2026-T2,0.4579699254494178,0.1549784388219362,2020-T1 a 2021-T4,0.8142959940255486,0.5624121066657845,43.758789333421554,0.8346294260183342,0.5487104949488777,45.12895050511223,0.5590771823393477,0.8191533117719694,18.084668822803064,pesos_senal_fuerte,0.4579699254494178,0.0,0.0
sin_covid,Excluding COVID,1,69,2006-T2,2026-T2,1.0813993415738383,-0.1525670450916726,2020-T1 a 2021-T4,1.2019645416456404,0.8996932139888811,10.030678601111887,1.203270265849444,0.8987169152812305,10.128308471876943,1.242026613445422,0.8706732447334616,12.932675526653837,pesos_senal_fuerte,1.0813993415738383,0.0,0.0
solo_covid,COVID only,1,8,2020-T1,2021-T4,3.83897240261176,0.3123000407460764,2020-T1 a 2021-T4,4.744161421749121,0.8091993634559702,19.080063654402977,5.915377284282081,0.6489818346519339,35.10181653480661,5.121409341713293,0.7495929628869477,25.040703711305238,pesos_senal_fuerte,3.83897240261176,0.0,0.0
completa_con_covid,All included,2,77,2006-T2,2026-T2,1.1968394959013653,-0.1041093734017264,2020-T1 a 2021-T4,1.9060468888144664,0.6279171320102109,37.2082867989789,2.2210205951609585,0.5388691570483297,46.11308429516703,2.0266796678249155,0.5905420155449845,40.945798445501545,pesos_senal_fuerte,1.1968394959013653,0.0,0.0
post_covid,Post-COVID,2,18,2022-T1,2026-T2,0.4232638755509457,-0.038343451100941,2020-T1 a 2021-T4,0.8142959940255486,0.5197911799350763,48.02088200649237,0.8346294260183342,0.5071279089333809,49.28720910666191,0.5590771823393477,0.7570759260463501,24.29240739536499,pesos_senal_fuerte,0.4232638755509457,0.0,0.0
sin_covid,Excluding COVID,2,69,2006-T2,2026-T2,0.8772932227743844,-0.102755155299819,2020-T1 a 2021-T4,1.2019645416456404,0.7298827813782758,27.011721862172426,1.203270265849444,0.7290907518229602,27.09092481770397,1.242026613445422,0.7063401164494733,29.365988355052675,pesos_senal_fuerte,0.8772932227743844,0.0,0.0
solo_covid,COVID only,2,8,2020-T1,2021-T4,2.673745347518667,-0.1157895045306778,2020-T1 a 2021-T4,4.744161421749121,0.5635865034568925,43.64134965431074,5.915377284282081,0.4519991234748716,54.80008765251284,5.121409341713293,0.5220721815265413,47.79278184734586,pesos_senal_fuerte,2.673745347518667,0.0,0.0
completa_con_covid,All included,3,77,2006-T2,2026-T2,1.1290603496256273,-0.1165574932894241,2020-T1 a 2021-T4,2.381166000302513,0.4741628048956632,52.58371951043368,2.4116058710882946,0.4681778076432165,53.18221923567834,2.0454224027485446,0.5519937339634337,44.80062660365663,pesos_senal_fuerte,1.1290603496256273,0.0,0.0
post_covid,Post-COVID,3,18,2022-T1,2026-T2,0.360211036053212,0.0438507524898644,2020-T1 a 2021-T4,0.7221448922033099,0.4988071506733023,50.11928493266977,0.8417378277559285,0.4279373270101618,57.20626729898382,0.5506519108824309,0.6541537928670156,34.58462071329844,pesos_senal_fuerte,0.360211036053212,0.0,0.0
sin_covid,Excluding COVID,3,69,2006-T2,2026-T2,0.7465041458190137,-0.0934770683185588,2020-T1 a 2021-T4,1.1024991608426566,0.6771017814185449,32.28982185814551,1.1412664832984976,0.6541015238276878,34.589847617231214,1.1715712676891654,0.637182019060126,36.281798093987405,pesos_senal_fuerte,0.7465041458190137,0.0,0.0
solo_covid,COVID only,3,8,2020-T1,2021-T4,2.7319024435232397,-0.3156261586631368,2020-T1 a 2021-T4,6.639996833021542,0.4114312871260937,58.85687128739063,6.6890596100821975,0.4084135293704863,59.158647062951374,5.331990702381854,0.5123606915336275,48.76393084663725,pesos_senal_fuerte,2.7319024435232397,0.0,0.0
completa_con_covid,All included,1,79,2005-T2,2026-T2,1.1243020437673,-0.0531150605393475,2020-T1 a 2021-T4,1.887092257882046,0.595785414873752,40.4214585126248,2.1974938165686497,0.5116292183806366,48.83707816193634,2.0138935356358703,0.558272830153512,44.1727169846488,dfm_lasso_sin_ar1,1.6059627765134568,-0.48166073274615684,29.992023463447993
post_covid,Post-COVID,1,18,2022-T1,2026-T2,0.5651066462030849,0.2135448321597485,2020-T1 a 2021-T4,0.8142959940255486,0.6939818571492993,30.601814285070077,0.8346294260183342,0.6770749132330152,32.29250867669848,0.5590771823393477,1.0107846716950746,-1.0784671695074577,dfm_lasso_sin_ar1,0.4579699254494178,0.10713672075366715,-23.393833262856955
sin_covid,Excluding COVID,1,71,2005-T2,2026-T2,0.9371441924039268,0.0220754330132343,2020-T1 a 2021-T4,1.1943040711857404,0.7846780522765046,21.532194772349545,1.1959782342426568,0.7835796384683918,21.642036153160817,1.247955722705062,0.7509434632605219,24.90565367394781,dfm_lasso_sin_ar1,1.0813993415738383,-0.14425514916991156,13.339674218773489
solo_covid,COVID only,1,8,2020-T1,2021-T4,2.165218404446245,-0.7204306908185114,2020-T1 a 2021-T4,4.744161421749121,0.4563964443789842,54.36035556210158,5.915377284282081,0.3660321735013436,63.39678264986564,5.121409341713293,0.4227778449206918,57.72221550793082,dfm_lasso_sin_ar1,3.83897240261176,-1.6737539981655152,43.59901094956592
